authorization_code,tx_id,fecha_tx,gateway,card_type,card_last4,monto_bruto_gw,comision_gw,neto_gw,currency,estado_gw,batch_id,tx_id_base,es_duplicado,tipo_diferencia
AUTH240003,TXN-202412-0017-DUP,2024-12-24,Datafast,VISA,8615,42.47,1.49,38.65,USD,SETTLED,BATCH-2176,TXN-202412-0017,1,DUPLICADO_GATEWAY
AUTH582521,TXN-202408-0172-DUP,2024-08-19,Datafast,MASTERCARD,3221,402.36,14.08,366.15,USD,SETTLED,BATCH-9688,TXN-202408-0172,1,DUPLICADO_GATEWAY
AUTH860147,TXN-202407-0333-DUP,2024-07-12,Medianet,MASTERCARD,5547,66.18,2.12,60.42,USD,SETTLED,BATCH-9961,TXN-202407-0333,1,DUPLICADO_GATEWAY
AUTH251426,TXN-202412-0388-DUP,2024-12-17,Datafast,VISA,1526,6.6,0.23,6.0,USD,SETTLED,BATCH-3231,TXN-202412-0388,1,DUPLICADO_GATEWAY
AUTH330753,TXN-202409-0436-DUP,2024-09-01,Medianet,VISA,3880,154.99,4.96,141.51,USD,SETTLED,BATCH-3288,TXN-202409-0436,1,DUPLICADO_GATEWAY
AUTH785520,TXN-202411-0500-DUP,2024-11-17,Datafast,MASTERCARD,2763,45.88,1.61,41.75,USD,SETTLED,BATCH-1343,TXN-202411-0500,1,DUPLICADO_GATEWAY
AUTH596770,TXN-202409-0396-DUP,2024-09-12,PayPhone,AMEX,8551,811.91,30.85,736.4,USD,SETTLED,BATCH-7728,TXN-202409-0396,1,DUPLICADO_GATEWAY
AUTH224829,TXN-202409-0029-DUP,2024-09-26,PayPhone,MASTERCARD,8920,31.47,1.2,28.54,USD,SETTLED,BATCH-4495,TXN-202409-0029,1,DUPLICADO_GATEWAY
AUTH572184,TXN-202411-0146-DUP,2024-11-19,Medianet,MASTERCARD,4083,100.51,3.22,91.76,USD,SETTLED,BATCH-2337,TXN-202411-0146,1,DUPLICADO_GATEWAY
AUTH755017,TXN-202407-0231-DUP,2024-07-19,Datafast,VISA,6384,2655.28,92.93,2416.31,USD,SETTLED,BATCH-9622,TXN-202407-0231,1,DUPLICADO_GATEWAY
AUTH627000,TXN-202410-0302-DUP,2024-10-12,Medianet,MASTERCARD,2522,170.85,5.47,155.98,USD,SETTLED,BATCH-7514,TXN-202410-0302,1,DUPLICADO_GATEWAY
AUTH707410,TXN-202412-0211-DUP,2024-12-08,Medianet,MASTERCARD,7857,5.32,0.17,4.86,USD,SETTLED,BATCH-5709,TXN-202412-0211,1,DUPLICADO_GATEWAY
AUTH128285,TXN-202407-0143-DUP,2024-07-27,Datafast,VISA,7561,1589.71,55.64,1446.63,USD,SETTLED,BATCH-2991,TXN-202407-0143,1,DUPLICADO_GATEWAY
AUTH258863,TXN-202411-0040-DUP,2024-11-18,Datafast,VISA,9326,77.52,2.71,70.54,USD,SETTLED,BATCH-8875,TXN-202411-0040,1,DUPLICADO_GATEWAY
AUTH279582,TXN-202412-0445-DUP,2024-12-31,Medianet,MASTERCARD,2054,444.59,14.23,405.9,USD,SETTLED,BATCH-7298,TXN-202412-0445,1,DUPLICADO_GATEWAY
AUTH339074,TXN-202411-0403-DUP,2024-11-25,Datafast,VISA,2090,439.94,15.4,400.34,USD,SETTLED,BATCH-2034,TXN-202411-0403,1,DUPLICADO_GATEWAY
AUTH594431,TXN-202411-0492-DUP,2024-11-09,Medianet,MASTERCARD,4378,125.25,4.01,114.35,USD,SETTLED,BATCH-4659,TXN-202411-0492,1,DUPLICADO_GATEWAY
AUTH812307,TXN-202410-0264-DUP,2024-10-22,Datafast,MASTERCARD,4535,140.74,4.93,128.07,USD,SETTLED,BATCH-1476,TXN-202410-0264,1,DUPLICADO_GATEWAY
AUTH967722,TXN-202408-0482-DUP,2024-08-16,Medianet,AMEX,8708,30.51,0.98,27.85,USD,SETTLED,BATCH-3548,TXN-202408-0482,1,DUPLICADO_GATEWAY
AUTH701053,TXN-202409-0012-DUP,2024-09-28,PayPhone,MASTERCARD,4147,294.38,11.19,267.0,USD,SETTLED,BATCH-4106,TXN-202409-0012,1,DUPLICADO_GATEWAY
AUTH159364,TXN-202412-0198-DUP,2024-12-23,PayPhone,VISA,8025,393.02,14.93,356.47,USD,SETTLED,BATCH-7774,TXN-202412-0198,1,DUPLICADO_GATEWAY
AUTH137656,TXN-202409-0081-DUP,2024-09-29,Medianet,MASTERCARD,8419,16.83,0.54,15.36,USD,SETTLED,BATCH-5289,TXN-202409-0081,1,DUPLICADO_GATEWAY
AUTH842842,TXN-202407-0172-DUP,2024-07-06,Datafast,AMEX,1471,2194.03,76.79,1996.57,USD,SETTLED,BATCH-2906,TXN-202407-0172,1,DUPLICADO_GATEWAY
AUTH952021,TXN-202408-0058-DUP,2024-08-26,Datafast,VISA,8835,92.31,3.23,84.01,USD,SETTLED,BATCH-8149,TXN-202408-0058,1,DUPLICADO_GATEWAY
