invoice_number,transaction_id,invoice_date,client_name,client_ruc,subtotal,iva_amount,total_invoice,payment_method,card_type,status,erp_module
FAC-000045,TXN-202407-0046,2024-07-08,Finanzas Ibéricos S.Com.,1690073794999,62.41,9.36,71.77,Medianet,VISA,PAGADA,Ventas
FAC-000046,TXN-202407-0047,2024-07-17,Hermanos Torrents S.Com.,9344574441076,42.42,6.36,48.78,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000047,TXN-202407-0048,2024-07-13,Familia Valbuena S.Coop.,8426265434759,156.74,23.51,180.25,PayPhone,VISA,PAGADA,Ventas
FAC-000048,TXN-202407-0049,2024-07-03,Tecnologías EY S.L.,2360435983985,53.38,8.01,61.39,Medianet,VISA,PAGADA,Ventas
FAC-000049,TXN-202407-0050,2024-07-07,Banco Plaza S.L.,9090799658578,594.04,89.11,683.15,Datafast,DINERS,PAGADA,POS
FAC-000050,TXN-202407-0051,2024-07-12,Efraín Luján Piquer S.L.,3875681678434,390.69,58.6,449.29,Datafast,DINERS,PAGADA,POS
FAC-000051,TXN-202407-0052,2024-07-26,Mariana Guardiola Carvajal S.Coop.,9607307177613,292.96,43.94,336.9,Datafast,AMEX,PAGADA,POS
FAC-000052,TXN-202407-0053,2024-07-04,Suministros IRO S.L.,5000788369223,409.86,61.48,471.34,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000053,TXN-202407-0054,2024-07-10,Manufacturas Castellanos S.A.,3585403369995,126.34,18.95,145.29,Datafast,AMEX,PAGADA,POS
FAC-000054,TXN-202407-0055,2024-07-17,Grupo Pereira S.A.,2685023126532,381.06,57.16,438.22,Datafast,VISA,PAGADA,E-commerce
FAC-000055,TXN-202407-0056,2024-07-27,Jose Manuel Berrocal Torres S.L.N.E,6835514972490,45.71,6.86,52.57,Datafast,AMEX,PAGADA,Ventas
FAC-000056,TXN-202407-0057,2024-07-06,Adelaida Olmo Porta S.L.N.E,3422347714695,68.24,10.24,78.48,Datafast,VISA,PAGADA,POS
FAC-000057,TXN-202407-0058,2024-07-31,Hermanos Yuste S.L.,1493555570200,110.43,16.56,126.99,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000058,TXN-202407-0059,2024-07-05,Sarmiento y Luís S.A.,6217413644594,282.3,42.35,324.65,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000059,TXN-202407-0060,2024-07-28,Desarrollo Ayala S.A.,7061218939127,360.32,54.05,414.37,Datafast,VISA,PAGADA,E-commerce
FAC-000060,TXN-202407-0061,2024-07-25,Desarrollo Iñiguez S.L.N.E,9606507612228,11.05,1.66,12.71,PayPhone,VISA,PAGADA,Ventas
FAC-000061,TXN-202407-0062,2024-07-30,Calvo y Torrecilla S.C.P,9330564468530,126.01,18.9,144.91,PayPhone,VISA,PAGADA,Ventas
FAC-000062,TXN-202407-0063,2024-07-01,Familia Manzanares S.Coop.,4255559502635,391.47,58.72,450.19,PayPhone,DINERS,PAGADA,Ventas
FAC-000063,TXN-202407-0064,2024-07-28,Hermanos Cid S.L.,6407778943327,2178.77,326.82,2505.59,Medianet,VISA,PAGADA,E-commerce
FAC-000064,TXN-202407-0065,2024-07-28,Distribuciones Lumbreras S.A.T.,6239904600823,109.04,16.36,125.4,PayPhone,VISA,PAGADA,E-commerce
FAC-000065,TXN-202407-0066,2024-07-10,Farmaceútica Avanzadas S.L.,6196269022209,237.68,35.65,273.33,PayPhone,VISA,PAGADA,Ventas
FAC-000066,TXN-202407-0067,2024-07-03,Desarrollo Pulido S.L.,6655061790670,22.52,3.38,25.9,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000067,TXN-202407-0068,2024-07-11,Hnos Comas S.Coop.,1851200393449,377.69,56.65,434.34,Datafast,MASTERCARD,PAGADA,POS
FAC-000068,TXN-202407-0069,2024-07-09,Inversiones QK S.Coop.,1476972162183,67.12,10.07,77.19,Datafast,DINERS,PAGADA,Ventas
FAC-000069,TXN-202407-0070,2024-07-20,Grupo Galvez S.L.U.,9733919296921,184.12,27.62,211.74,Datafast,VISA,PAGADA,E-commerce
FAC-000070,TXN-202407-0072,2024-07-24,Talavera y Miguel S.C.P,1053071226008,412.97,61.94,474.91,Medianet,AMEX,PAGADA,Ventas
FAC-000071,TXN-202407-0073,2024-07-20,Comercializadora Cal y asociados S.L.N.E,2628377427054,2436.46,365.47,2801.93,Datafast,VISA,PAGADA,Ventas
FAC-000072,TXN-202407-0074,2024-07-22,Fábrica Huguet & Asociados S.A.,8985788728206,1537.23,230.58,1767.81,Medianet,VISA,PAGADA,Ventas
FAC-000073,TXN-202407-0075,2024-07-22,Infraestructuras Vicens y asociados S.A.,3422801269804,139.63,20.94,160.57,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000074,TXN-202407-0076,2024-07-18,Despacho Ballesteros & Asociados S.A.,4366589524760,179.48,26.92,206.4,Medianet,AMEX,PAGADA,E-commerce
FAC-000075,TXN-202407-0077,2024-07-11,Eusebia Prats Roig S.A.,8260647245257,291.13,43.67,334.8,Datafast,VISA,PAGADA,Ventas
FAC-000076,TXN-202407-0078,2024-07-31,Transportes BEGD S.L.U.,3778747788407,56.11,8.42,64.53,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000077,TXN-202407-0079,2024-07-11,Compañía Requena S.A.,1094657770612,45.63,6.84,52.47,Datafast,VISA,PAGADA,Ventas
FAC-000078,TXN-202407-0080,2024-07-07,Rivas y asociados S.L.N.E,8888972842680,151.61,22.74,174.35,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000079,TXN-202407-0081,2024-07-03,Finanzas Armas S.Com.,8628261641700,59.77,8.96,68.73,Datafast,VISA,PAGADA,POS
FAC-000080,TXN-202407-0082,2024-07-16,Supermercados GNA S.L.N.E,5337186056688,49.77,7.46,57.23,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000081,TXN-202407-0083,2024-07-25,Promociones Valenciano y asociados S.A.,1131664795127,53.32,8.0,61.32,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000082,TXN-202407-0084,2024-07-15,Hnos Torre S.Coop.,8483124285354,323.72,48.56,372.28,Medianet,VISA,PAGADA,E-commerce
FAC-000083,TXN-202407-0085,2024-07-15,Noemí Casas Estévez S.A.,2060199198480,13.04,1.96,15.0,Medianet,AMEX,PAGADA,Ventas
FAC-000084,TXN-202407-0086,2024-07-15,Suministros Jaume S.L.L.,7670170867152,53.6,8.04,61.64,Medianet,MASTERCARD,PAGADA,POS
FAC-000085,TXN-202407-0087,2024-07-15,Logística Globales S.Coop.,1577107404336,63.49,9.52,73.01,PayPhone,AMEX,PAGADA,Ventas
FAC-000086,TXN-202407-0088,2024-07-21,Alimentación Menéndez y asociados S.L.L.,8095796724610,20.47,3.07,23.54,Medianet,VISA,PAGADA,POS
FAC-000087,TXN-202407-0089,2024-07-03,Arnaiz y Rosselló S.Coop.,5111090070178,169.85,25.48,195.33,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000088,TXN-202407-0090,2024-07-05,Hnos Coloma S.L.L.,5602050254972,39.57,5.94,45.51,Datafast,VISA,PAGADA,POS
FAC-000089,TXN-202407-0091,2024-07-14,Tecnologías Inteligentes S.Coop.,9739201029759,93.03,13.95,106.98,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000090,TXN-202407-0092,2024-07-29,Banca Privada Torre & Asociados S.A.,8774753965974,31.75,4.76,36.51,Medianet,VISA,PAGADA,Ventas
FAC-000091,TXN-202407-0093,2024-07-16,Manzano y Benavides S.C.P,4225269420416,279.82,41.97,321.79,PayPhone,VISA,PAGADA,E-commerce
FAC-000092,TXN-202407-0094,2024-07-27,Novoa y Martin S.L.N.E,4615374051337,62.5,9.37,71.87,PayPhone,VISA,PAGADA,POS
FAC-000093,TXN-202407-0095,2024-07-16,Distribuciones Soria S.L.N.E,8837669976816,397.46,59.62,457.08,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000094,TXN-202407-0096,2024-07-26,Grupo Bermejo S.A.,1085571749058,47.97,7.2,55.17,Datafast,VISA,PAGADA,POS
FAC-000095,TXN-202407-0097,2024-07-18,Comercial Aliaga & Asociados S.L.,4896881449908,2566.78,385.02,2951.8,Medianet,AMEX,PAGADA,E-commerce
FAC-000096,TXN-202407-0098,2024-07-14,Grupo Aliaga S.A.,1735862405744,100.23,15.03,115.26,PayPhone,MASTERCARD,PAGADA,E-commerce
FAC-000097,TXN-202407-0099,2024-07-15,Banca Privada Juan & Asociados S.L.,5209998632453,25.7,3.85,29.55,PayPhone,VISA,PAGADA,E-commerce
FAC-000098,TXN-202407-0100,2024-07-14,Marisela Quintero Benavides S.Coop.,5027911110851,66.38,9.96,76.34,Datafast,AMEX,PAGADA,Ventas
FAC-000099,TXN-202407-0101,2024-07-31,Minería del Sur S.A.,7846689859321,88.59,13.29,101.88,PayPhone,VISA,PAGADA,E-commerce
FAC-000100,TXN-202407-0102,2024-07-01,Industrias Gallart S.L.N.E,4159618307348,522.3,78.35,600.65,Datafast,VISA,PAGADA,Ventas
FAC-000101,TXN-202407-0103,2024-07-22,Transportes Aparicio y asociados S.Com.,1102264259720,12.58,1.89,14.47,Datafast,VISA,PAGADA,POS
FAC-000102,TXN-202407-0104,2024-07-06,Comercializadora Pons S.C.P,5254829878192,349.65,52.45,402.1,Medianet,VISA,PAGADA,Ventas
FAC-000103,TXN-202407-0105,2024-07-31,Caparrós y asociados S.Com.,1847498474604,57.78,8.67,66.45,Medianet,MASTERCARD,PAGADA,POS
FAC-000104,TXN-202407-0106,2024-07-31,Comercial Nieto & Asociados S.Coop.,3293717847214,48.52,7.28,55.8,Datafast,VISA,PAGADA,E-commerce
FAC-000105,TXN-202407-0107,2024-07-21,Serra & Asociados S.A.,6517275804529,49.39,7.41,56.8,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000106,TXN-202407-0108,2024-07-04,Manufacturas Macias S.L.,3367698897988,288.84,43.33,332.17,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000107,TXN-202407-0109,2024-07-17,Inversiones Castellana S.L.N.E,6975445847413,28.51,4.28,32.79,Medianet,VISA,PAGADA,Ventas
FAC-000108,TXN-202407-0110,2024-07-31,Paz y Viña S.Coop.,4501929360596,108.11,16.22,124.33,Datafast,AMEX,PAGADA,POS
FAC-000109,TXN-202407-0111,2024-07-24,Inversiones Esparza S.A.,3375193463890,228.61,34.29,262.9,Medianet,AMEX,PAGADA,Ventas
FAC-000110,TXN-202407-0112,2024-07-16,Banca Privada Castellana S.Coop.,2424844793656,266.11,39.92,306.03,PayPhone,VISA,PAGADA,Ventas
FAC-000111,TXN-202407-0113,2024-07-27,Familia Alberdi S.L.N.E,2515686223070,59.9,8.98,68.88,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000112,TXN-202407-0114,2024-07-22,Banco Integrales S.A.,9465948053160,277.69,41.65,319.34,Datafast,VISA,PAGADA,Ventas
FAC-000113,TXN-202407-0115,2024-07-12,Hotel Castellana S.Coop.,2627433037271,36.15,5.42,41.57,Datafast,VISA,PAGADA,POS
FAC-000114,TXN-202407-0116,2024-07-01,Alimentación del Noroeste S.A.,7862447563112,170.46,25.57,196.03,Datafast,AMEX,PAGADA,E-commerce
FAC-000115,TXN-202407-0117,2024-07-25,Jose Miguel Mayoral Caballero S.A.D,9013807828780,248.0,37.2,285.2,PayPhone,VISA,PAGADA,Ventas
FAC-000116,TXN-202407-0118,2024-07-03,Alimentación ODN S.Com.,6061545985866,56.06,8.41,64.47,Medianet,MASTERCARD,PAGADA,POS
FAC-000117,TXN-202407-0119,2024-07-16,Arellano y asociados S.Coop.,3956541802882,42.28,6.34,48.62,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000118,TXN-202407-0120,2024-07-23,Comercializadora Sotelo S.C.P,5321288669059,190.37,28.56,218.93,Medianet,VISA,PAGADA,Ventas
FAC-000119,TXN-202407-0121,2024-07-04,Adadia y asociados S.L.L.,4469984288284,16.9,2.54,19.44,Datafast,VISA,PAGADA,POS
FAC-000120,TXN-202407-0122,2024-07-16,Distribuciones Iberia S.A.T.,6705203132988,18.46,2.77,21.23,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000121,TXN-202407-0123,2024-07-04,Supermercados Maza S.A.,6812320366864,22.8,3.42,26.22,Medianet,DINERS,PAGADA,Ventas
FAC-000122,TXN-202407-0124,2024-07-05,Ana Navas Salazar S.L.,2677862685272,50.52,7.58,58.1,Datafast,VISA,PAGADA,Ventas
FAC-000123,TXN-202407-0125,2024-07-21,Desarrollo Soriano y asociados S.A.,7776032087783,65.92,9.89,75.81,Datafast,VISA,PAGADA,POS
FAC-000124,TXN-202407-0126,2024-07-11,Diéguez & Asociados S.L.N.E,4471062833455,35.57,5.33,40.9,Datafast,VISA,PAGADA,E-commerce
FAC-000125,TXN-202407-0127,2024-07-03,Flor y Beltrán S.L.N.E,7135623277004,111.23,16.69,127.92,PayPhone,VISA,PAGADA,E-commerce
FAC-000126,TXN-202407-0128,2024-07-26,Finanzas Montesinos y asociados S.Coop.,5235859730273,124.98,18.75,143.73,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000127,TXN-202407-0129,2024-07-14,Villar y asociados S.Coop.,9122857042402,40.75,6.11,46.86,PayPhone,VISA,PAGADA,POS
FAC-000128,TXN-202407-0130,2024-07-30,Manufacturas LJT S.Com.,5255468939770,208.49,31.27,239.76,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000129,TXN-202407-0131,2024-07-02,Carvajal y Diaz S.L.N.E,4711678815964,41.43,6.22,47.65,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000130,TXN-202407-0132,2024-07-09,Alimentación del Levante S.Com.,6173865690448,298.02,44.7,342.72,PayPhone,VISA,PAGADA,Ventas
FAC-000131,TXN-202407-0133,2024-07-14,Comercial Castellana S.A.,9546733229124,126.73,19.01,145.74,Datafast,VISA,PAGADA,Ventas
FAC-000132,TXN-202407-0134,2024-07-10,Hermanos Ruano S.L.U.,7995587700623,23.14,3.47,26.61,Medianet,VISA,PAGADA,E-commerce
FAC-000133,TXN-202407-0135,2024-07-26,Aragón y asociados S.Com.,9694599426407,21.6,3.24,24.84,PayPhone,VISA,PAGADA,E-commerce
FAC-000134,TXN-202407-0136,2024-07-08,Alimentación Girona y asociados S.Com.,6208953012033,11.83,1.78,13.61,Medianet,AMEX,PAGADA,E-commerce
FAC-000135,TXN-202407-0137,2024-07-26,Comercial Rivero S.L.,8380138716283,8.23,1.24,9.47,Datafast,VISA,PAGADA,E-commerce
FAC-000136,TXN-202407-0138,2024-07-15,Minería Fuster & Asociados S.L.,4156890581080,1389.46,208.42,1597.88,Medianet,AMEX,PAGADA,POS
FAC-000137,TXN-202407-0139,2024-07-15,Desiderio Bernal Cabañas S.L.,2453374356702,39.57,5.93,45.5,Datafast,VISA,PAGADA,Ventas
FAC-000138,TXN-202407-0140,2024-07-01,José Ángel Baena Toro S.A.,9177287156596,290.05,43.51,333.56,Medianet,AMEX,PAGADA,E-commerce
FAC-000139,TXN-202407-0141,2024-07-01,Hermanos Cruz S.Coop.,9495794575959,283.99,42.6,326.59,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000140,TXN-202407-0142,2024-07-17,Servicios Iriarte & Asociados S.Com.,8255055362917,133.55,20.03,153.58,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000141,TXN-202407-0143,2024-07-27,Consultoría Ibéricos S.Coop.,2448541839525,1382.36,207.35,1589.71,Datafast,VISA,PAGADA,E-commerce
FAC-000142,TXN-202407-0144,2024-07-04,Real y Coello S.L.N.E,2652078821651,25.29,3.79,29.08,PayPhone,VISA,PAGADA,POS
FAC-000143,TXN-202407-0145,2024-07-27,Susana Ponce Perera S.L.L.,1892145744520,65.99,9.9,75.89,Datafast,MASTERCARD,PAGADA,POS
FAC-000144,TXN-202407-0146,2024-07-25,Distribuciones Española S.A.,3602769473088,11.9,1.79,13.69,Datafast,VISA,PAGADA,POS
FAC-000145,TXN-202407-0147,2024-07-15,Hnos Aliaga S.A.,2840353212440,61.04,9.16,70.2,PayPhone,AMEX,PAGADA,Ventas
FAC-000146,TXN-202407-0148,2024-07-15,Cuadrado y Murillo S.L.N.E,9929363409412,251.63,37.74,289.37,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000147,TXN-202407-0149,2024-07-23,Minería BAST S.L.N.E,2180525795990,1387.21,208.08,1595.29,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000148,TXN-202407-0150,2024-07-06,Miranda y Jerez S.A.T.,1347941232546,156.96,23.54,180.5,Datafast,DINERS,PAGADA,Ventas
FAC-000149,TXN-202407-0151,2024-07-30,Desarrollo del Levante S.A.,1118911343485,69.06,10.36,79.42,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000150,TXN-202407-0152,2024-07-23,Esparza & Asociados S.L.N.E,7013399627686,251.58,37.74,289.32,Datafast,VISA,PAGADA,Ventas
FAC-000151,TXN-202407-0153,2024-07-08,Solsona y asociados S.Com.,2127342112029,427.57,64.13,491.7,Medianet,VISA,PAGADA,Ventas
FAC-000152,TXN-202407-0154,2024-07-29,Fábrica Echevarría S.Coop.,2138130149480,1539.65,230.95,1770.6,Medianet,VISA,PAGADA,E-commerce
FAC-000153,TXN-202407-0155,2024-07-30,Pino y Acero S.A.,3098908881966,221.11,33.17,254.28,PayPhone,VISA,PAGADA,Ventas
FAC-000154,TXN-202407-0156,2024-07-19,Grupo Romeu S.L.N.E,4852319199082,375.43,56.31,431.74,Datafast,VISA,PAGADA,Ventas
FAC-000155,TXN-202407-0157,2024-07-18,Tur y asociados S.Coop.,1833568317236,26.85,4.03,30.88,Datafast,VISA,PAGADA,E-commerce
FAC-000156,TXN-202407-0158,2024-07-08,Manufacturas Núñez y asociados S.Coop.,9067041710389,427.77,64.16,491.93,Datafast,DINERS,PAGADA,POS
FAC-000157,TXN-202407-0159,2024-07-16,Minería TROP S.Coop.,2191874050133,25.1,3.76,28.86,Datafast,AMEX,PAGADA,E-commerce
FAC-000158,TXN-202407-0160,2024-07-21,Nazaret Barco Pallarès S.A.,3003449560714,2157.37,323.61,2480.98,PayPhone,VISA,PAGADA,POS
FAC-000159,TXN-202407-0161,2024-07-28,Consultoría Ibéricos S.L.L.,7676507752572,42.83,6.43,49.26,Datafast,VISA,PAGADA,Ventas
FAC-000160,TXN-202407-0162,2024-07-24,Gálvez y asociados S.A.,3816316037811,34.15,5.12,39.27,PayPhone,VISA,PAGADA,POS
FAC-000161,TXN-202407-0163,2024-07-09,Sara Viñas Casal S.Coop.,9305703996306,34.97,5.24,40.21,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000162,TXN-202407-0164,2024-07-22,Fábrica QGI S.A.,6170059946966,25.77,3.87,29.64,Medianet,VISA,PAGADA,POS
FAC-000163,TXN-202407-0165,2024-07-28,Gisbert y Sancho S.A.T.,9793233700715,346.91,52.04,398.95,Datafast,VISA,PAGADA,Ventas
FAC-000164,TXN-202407-0166,2024-07-08,Grupo Aznar S.A.,7600971408633,405.9,60.89,466.79,Datafast,VISA,PAGADA,POS
FAC-000165,TXN-202407-0167,2024-07-04,Transportes QAF S.Com.,3334306587448,326.63,49.0,375.63,Datafast,DINERS,PAGADA,Ventas
FAC-000166,TXN-202407-0168,2024-07-02,Hermanos Lledó S.L.N.E,9888392375909,25.5,3.83,29.33,Datafast,VISA,PAGADA,E-commerce
FAC-000167,TXN-202407-0169,2024-07-22,Grupo Benet S.Coop.,7322858258545,31.22,4.68,35.9,Datafast,VISA,PAGADA,E-commerce
FAC-000168,TXN-202407-0170,2024-07-08,Luis Somoza Zabaleta S.L.,5013919603482,295.9,44.38,340.28,Datafast,VISA,PAGADA,Ventas
FAC-000169,TXN-202407-0171,2024-07-09,Transportes Pujol y asociados S.Coop.,4067883873693,20.91,3.14,24.05,PayPhone,VISA,PAGADA,E-commerce
FAC-000170,TXN-202407-0172,2024-07-06,Silvio Ibarra Arévalo S.Com.,2838004364758,1907.85,286.18,2194.03,Datafast,AMEX,PAGADA,Ventas
FAC-000171,TXN-202407-0173,2024-07-14,Sevilla & Asociados S.Com.,4966486741637,302.91,45.44,348.35,Datafast,VISA,PAGADA,E-commerce
FAC-000172,TXN-202407-0174,2024-07-16,Grupo Sedano S.L.,2120631755297,29.43,4.42,33.85,Datafast,AMEX,PAGADA,Ventas
FAC-000173,TXN-202407-0175,2024-07-10,Alimentación Ávila S.A.U,7160145840811,432.11,64.82,496.93,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000174,TXN-202407-0176,2024-07-22,Marcos y Carreras S.A.,4441572814361,41.25,6.19,47.44,PayPhone,MASTERCARD,PAGADA,POS
