authorization_code,transaction_id,transaction_date,gateway_name,card_type,card_last4,gross_amount,gateway_fee,net_to_bank,currency,status,batch_id
AUTH492418,TXN-202407-0065,2024-07-28,PayPhone,VISA,2634,125.4,4.77,113.74,USD,SETTLED,BATCH-6241
AUTH783646,TXN-202407-0066,2024-07-10,PayPhone,VISA,3534,273.33,10.39,247.91,USD,SETTLED,BATCH-6096
AUTH944481,TXN-202407-0067,2024-07-03,Datafast,MASTERCARD,9847,25.9,0.91,23.56,USD,SETTLED,BATCH-3199
AUTH447482,TXN-202407-0068,2024-07-11,Datafast,MASTERCARD,9568,434.34,15.2,395.25,USD,SETTLED,BATCH-5916
AUTH460765,TXN-202407-0069,2024-07-09,Datafast,DINERS,7340,77.19,2.7,70.25,USD,SETTLED,BATCH-6321
AUTH994966,TXN-202407-0070,2024-07-20,Datafast,VISA,2610,211.74,7.41,192.68,USD,SETTLED,BATCH-2529
AUTH162263,TXN-202407-0071,2024-07-14,Datafast,AMEX,9368,8.33,0.29,-7.59,USD,CHARGEBACK,BATCH-1914
AUTH219036,TXN-202407-0072,2024-07-24,Medianet,AMEX,3192,474.91,15.2,433.59,USD,SETTLED,BATCH-9332
AUTH748221,TXN-202407-0073,2024-07-20,Datafast,VISA,1435,2801.93,98.07,2549.75,USD,SETTLED,BATCH-3934
AUTH864816,TXN-202407-0074,2024-07-22,Medianet,VISA,9002,1767.81,56.57,1614.01,USD,SETTLED,BATCH-7316
AUTH337232,TXN-202407-0075,2024-07-22,Datafast,MASTERCARD,1115,160.57,5.62,146.11,USD,SETTLED,BATCH-2246
AUTH454046,TXN-202407-0076,2024-07-18,Medianet,AMEX,7582,206.4,6.6,188.45,USD,SETTLED,BATCH-2156
AUTH397459,TXN-202407-0077,2024-07-11,Datafast,VISA,7357,334.8,11.72,304.66,USD,SETTLED,BATCH-1445
AUTH444520,TXN-202407-0078,2024-07-31,Datafast,MASTERCARD,1600,64.53,2.26,58.72,USD,SETTLED,BATCH-4270
AUTH934891,TXN-202407-0079,2024-07-11,Datafast,VISA,2940,52.47,1.84,47.75,USD,SETTLED,BATCH-6215
AUTH852786,TXN-202407-0080,2024-07-07,PayPhone,MASTERCARD,1771,174.35,6.63,158.13,USD,SETTLED,BATCH-7280
AUTH816125,TXN-202407-0081,2024-07-03,Datafast,VISA,8449,68.73,2.41,62.54,USD,SETTLED,BATCH-6235
AUTH135012,TXN-202407-0082,2024-07-16,Datafast,MASTERCARD,3161,57.23,2.0,52.08,USD,SETTLED,BATCH-5377
AUTH337016,TXN-202407-0083,2024-07-25,Datafast,MASTERCARD,4595,61.32,2.15,55.8,USD,SETTLED,BATCH-3969
AUTH996864,TXN-202407-0084,2024-07-15,Medianet,VISA,8881,372.28,11.91,339.9,USD,SETTLED,BATCH-3874
AUTH524484,TXN-202407-0085,2024-07-15,Medianet,AMEX,3404,15.0,0.48,13.7,USD,SETTLED,BATCH-1577
AUTH709112,TXN-202407-0086,2024-07-15,Medianet,MASTERCARD,3358,61.64,1.97,56.28,USD,SETTLED,BATCH-3859
AUTH628790,TXN-202407-0087,2024-07-15,PayPhone,AMEX,7350,73.01,2.77,66.22,USD,SETTLED,BATCH-4962
AUTH952659,TXN-202407-0088,2024-07-21,Medianet,VISA,4784,23.54,0.75,21.49,USD,SETTLED,BATCH-8868
AUTH681313,TXN-202407-0089,2024-07-03,Medianet,MASTERCARD,4668,195.33,6.25,178.34,USD,SETTLED,BATCH-7262
AUTH947811,TXN-202407-0090,2024-07-05,Datafast,VISA,5503,45.51,1.59,41.41,USD,SETTLED,BATCH-7252
AUTH687477,TXN-202407-0091,2024-07-14,Datafast,MASTERCARD,9378,106.98,3.74,97.37,USD,SETTLED,BATCH-8090
AUTH398673,TXN-202407-0092,2024-07-29,Medianet,VISA,8154,36.51,1.17,33.33,USD,SETTLED,BATCH-7937
AUTH828909,TXN-202407-0093,2024-07-16,PayPhone,VISA,5977,321.79,12.23,291.86,USD,SETTLED,BATCH-3838
AUTH921420,TXN-202407-0094,2024-07-27,PayPhone,VISA,8440,71.87,2.73,65.19,USD,SETTLED,BATCH-3750
AUTH318262,TXN-202407-0095,2024-07-16,Medianet,MASTERCARD,1757,457.08,14.63,417.31,USD,SETTLED,BATCH-6684
AUTH754082,TXN-202407-0096,2024-07-26,Datafast,VISA,4974,55.17,1.93,50.21,USD,SETTLED,BATCH-4829
AUTH303047,TXN-202407-0097,2024-07-18,Medianet,AMEX,6180,2951.8,94.46,2694.99,USD,SETTLED,BATCH-4796
AUTH891730,TXN-202407-0098,2024-07-14,PayPhone,MASTERCARD,1724,115.26,4.38,104.54,USD,SETTLED,BATCH-9802
AUTH913448,TXN-202407-0099,2024-07-15,PayPhone,VISA,7893,29.55,1.12,26.8,USD,SETTLED,BATCH-7286
AUTH357533,TXN-202407-0100,2024-07-14,Datafast,AMEX,9041,76.34,3.1,69.04,USD,SETTLED,BATCH-2528
AUTH302111,TXN-202407-0101,2024-07-31,PayPhone,VISA,6372,101.88,3.87,92.41,USD,SETTLED,BATCH-5096
AUTH270080,TXN-202407-0102,2024-07-01,Datafast,VISA,8540,600.65,21.02,546.59,USD,SETTLED,BATCH-2521
AUTH408850,TXN-202407-0103,2024-07-22,Datafast,VISA,9372,14.47,0.51,13.17,USD,SETTLED,BATCH-2071
AUTH991081,TXN-202407-0104,2024-07-06,Medianet,VISA,7779,402.1,12.87,367.12,USD,SETTLED,BATCH-9876
AUTH358253,TXN-202407-0105,2024-07-31,Medianet,MASTERCARD,9496,66.45,2.13,60.67,USD,SETTLED,BATCH-4143
AUTH513258,TXN-202407-0106,2024-07-31,Datafast,VISA,4691,55.8,1.95,50.78,USD,SETTLED,BATCH-1266
AUTH271139,TXN-202407-0107,2024-07-21,Datafast,MASTERCARD,4129,56.8,1.99,51.68,USD,SETTLED,BATCH-4776
AUTH720857,TXN-202407-0108,2024-07-04,Datafast,MASTERCARD,6543,332.17,11.63,302.27,USD,SETTLED,BATCH-6006
AUTH547484,TXN-202407-0109,2024-07-17,Medianet,VISA,6805,32.79,1.05,29.93,USD,SETTLED,BATCH-3077
AUTH238687,TXN-202407-0110,2024-07-31,Datafast,AMEX,8308,124.33,4.35,113.15,USD,SETTLED,BATCH-5594
AUTH107594,TXN-202407-0111,2024-07-24,Medianet,AMEX,1217,262.9,11.99,236.45,USD,SETTLED,BATCH-3437
AUTH951281,TXN-202407-0112,2024-07-16,PayPhone,VISA,8976,306.03,11.63,277.57,USD,SETTLED,BATCH-5817
AUTH663508,TXN-202407-0113,2024-07-27,Datafast,MASTERCARD,8245,68.88,2.41,62.68,USD,SETTLED,BATCH-1036
AUTH127946,TXN-202407-0114,2024-07-22,Datafast,VISA,4868,319.34,11.18,290.6,USD,SETTLED,BATCH-7202
AUTH463666,TXN-202407-0115,2024-07-12,Datafast,VISA,2663,41.57,1.45,37.83,USD,SETTLED,BATCH-7957
AUTH691743,TXN-202407-0116,2024-07-01,Datafast,AMEX,3798,196.03,6.86,178.39,USD,SETTLED,BATCH-3911
AUTH882888,TXN-202407-0117,2024-07-25,PayPhone,VISA,4572,285.2,10.84,258.68,USD,SETTLED,BATCH-9394
AUTH876385,TXN-202407-0118,2024-07-03,Medianet,MASTERCARD,2640,64.47,2.06,58.87,USD,SETTLED,BATCH-4077
AUTH664517,TXN-202407-0119,2024-07-16,Datafast,MASTERCARD,6290,48.62,1.7,44.24,USD,SETTLED,BATCH-5426
AUTH776446,TXN-202407-0120,2024-07-23,Medianet,VISA,6394,218.93,7.01,199.88,USD,SETTLED,BATCH-7719
AUTH341687,TXN-202407-0121,2024-07-04,Datafast,VISA,6574,19.44,0.68,17.7,USD,SETTLED,BATCH-4134
AUTH228396,TXN-202407-0122,2024-07-16,Medianet,MASTERCARD,1699,21.23,0.68,19.38,USD,SETTLED,BATCH-4302
AUTH232461,TXN-202407-0123,2024-07-04,Medianet,DINERS,6214,26.22,0.84,23.94,USD,SETTLED,BATCH-5913
AUTH972051,TXN-202407-0124,2024-07-05,Datafast,VISA,8208,58.1,2.03,52.88,USD,SETTLED,BATCH-9476
AUTH926970,TXN-202407-0125,2024-07-21,Datafast,VISA,1536,75.81,2.65,68.99,USD,SETTLED,BATCH-9827
AUTH382555,TXN-202407-0126,2024-07-11,Datafast,VISA,6856,40.9,1.43,37.22,USD,SETTLED,BATCH-4769
AUTH889219,TXN-202407-0127,2024-07-03,PayPhone,VISA,3080,127.92,5.62,115.26,USD,SETTLED,BATCH-4901
AUTH383349,TXN-202407-0128,2024-07-26,Datafast,MASTERCARD,2533,143.73,5.03,130.79,USD,SETTLED,BATCH-5216
AUTH194860,TXN-202407-0129,2024-07-14,PayPhone,VISA,9598,46.86,1.78,42.5,USD,SETTLED,BATCH-4419
AUTH269546,TXN-202407-0130,2024-07-30,Medianet,MASTERCARD,8838,239.76,7.67,218.9,USD,SETTLED,BATCH-8743
AUTH707951,TXN-202407-0131,2024-07-02,Datafast,MASTERCARD,4647,47.65,1.67,43.36,USD,SETTLED,BATCH-7077
AUTH160326,TXN-202407-0132,2024-07-09,PayPhone,VISA,9463,342.72,13.02,310.85,USD,SETTLED,BATCH-2679
AUTH565914,TXN-202407-0133,2024-07-14,Datafast,VISA,5486,145.74,5.1,132.62,USD,SETTLED,BATCH-9631
AUTH917968,TXN-202407-0134,2024-07-10,Medianet,VISA,5590,26.61,0.85,24.29,USD,SETTLED,BATCH-7246
AUTH449532,TXN-202407-0135,2024-07-26,PayPhone,VISA,5315,24.84,0.94,22.53,USD,SETTLED,BATCH-8146
AUTH887854,TXN-202407-0136,2024-07-08,Medianet,AMEX,1732,13.61,0.44,12.42,USD,SETTLED,BATCH-5168
AUTH727514,TXN-202407-0137,2024-07-26,Datafast,VISA,6098,9.47,0.33,8.62,USD,SETTLED,BATCH-1610
AUTH511903,TXN-202407-0138,2024-07-15,Medianet,AMEX,7023,1597.88,51.13,1458.87,USD,SETTLED,BATCH-9318
AUTH428263,TXN-202407-0139,2024-07-15,Datafast,VISA,9341,45.5,1.59,41.4,USD,SETTLED,BATCH-8121
AUTH741443,TXN-202407-0140,2024-07-01,Medianet,AMEX,9804,333.56,10.67,304.54,USD,SETTLED,BATCH-6930
AUTH730344,TXN-202407-0141,2024-07-01,Datafast,MASTERCARD,4428,326.59,11.43,297.19,USD,SETTLED,BATCH-5718
AUTH744652,TXN-202407-0142,2024-07-17,PayPhone,MASTERCARD,2714,153.58,5.84,139.29,USD,SETTLED,BATCH-3879
AUTH240401,TXN-202407-0143,2024-07-27,Datafast,VISA,2250,1589.71,55.64,1446.63,USD,SETTLED,BATCH-5657
AUTH159183,TXN-202407-0144,2024-07-04,PayPhone,VISA,6101,29.08,1.11,26.37,USD,SETTLED,BATCH-5081
AUTH223631,TXN-202407-0145,2024-07-27,Datafast,MASTERCARD,2046,75.89,2.66,69.05,USD,SETTLED,BATCH-3893
AUTH249571,TXN-202407-0146,2024-07-25,Datafast,VISA,6055,13.69,0.48,12.45,USD,SETTLED,BATCH-7286
AUTH354517,TXN-202407-0147,2024-07-15,PayPhone,AMEX,8919,70.2,2.67,63.67,USD,SETTLED,BATCH-3188
AUTH620526,TXN-202407-0148,2024-07-15,Datafast,MASTERCARD,1842,289.37,10.13,263.33,USD,SETTLED,BATCH-6402
AUTH520991,TXN-202407-0149,2024-07-23,Datafast,MASTERCARD,2677,1595.29,55.84,1451.71,USD,SETTLED,BATCH-6628
AUTH307710,TXN-202407-0150,2024-07-06,Datafast,DINERS,3496,180.5,6.32,164.26,USD,SETTLED,BATCH-1341
AUTH178909,TXN-202407-0151,2024-07-30,Medianet,MASTERCARD,4716,79.42,2.54,72.52,USD,SETTLED,BATCH-8368
AUTH604493,TXN-202407-0152,2024-07-23,Datafast,VISA,6287,289.32,10.13,263.28,USD,SETTLED,BATCH-5407
AUTH582120,TXN-202407-0153,2024-07-08,Medianet,VISA,1806,491.7,15.73,448.92,USD,SETTLED,BATCH-4345
AUTH423999,TXN-202407-0154,2024-07-29,Medianet,VISA,4251,1770.6,56.66,1616.55,USD,SETTLED,BATCH-6570
AUTH716560,TXN-202407-0155,2024-07-30,PayPhone,VISA,7563,254.28,9.66,230.64,USD,SETTLED,BATCH-1355
AUTH489750,TXN-202407-0156,2024-07-19,Datafast,VISA,9777,431.74,15.11,392.88,USD,SETTLED,BATCH-6691
AUTH391352,TXN-202407-0157,2024-07-18,Datafast,VISA,8273,30.88,1.08,28.1,USD,SETTLED,BATCH-3672
AUTH267827,TXN-202407-0158,2024-07-08,Datafast,DINERS,2865,491.93,17.22,447.65,USD,SETTLED,BATCH-9569
AUTH168751,TXN-202407-0159,2024-07-16,Datafast,AMEX,6313,28.86,1.01,26.26,USD,SETTLED,BATCH-7114
AUTH115610,TXN-202407-0160,2024-07-21,PayPhone,VISA,7447,2480.98,94.28,2250.25,USD,SETTLED,BATCH-5456
AUTH502580,TXN-202407-0161,2024-07-28,Datafast,VISA,9746,49.26,1.72,44.83,USD,SETTLED,BATCH-8857
AUTH291105,TXN-202407-0162,2024-07-24,PayPhone,VISA,2223,39.27,1.49,35.62,USD,SETTLED,BATCH-1135
AUTH724214,TXN-202407-0163,2024-07-09,Datafast,MASTERCARD,1613,40.21,1.41,36.59,USD,SETTLED,BATCH-5075
AUTH912514,TXN-202407-0164,2024-07-22,Medianet,VISA,8174,29.64,0.95,27.06,USD,SETTLED,BATCH-7994
AUTH381229,TXN-202407-0165,2024-07-28,Datafast,VISA,8378,398.95,13.96,363.05,USD,SETTLED,BATCH-7913
AUTH772050,TXN-202407-0166,2024-07-08,Datafast,VISA,8313,466.79,16.34,424.77,USD,SETTLED,BATCH-5642
AUTH197419,TXN-202407-0167,2024-07-04,Datafast,DINERS,9810,375.63,13.15,341.82,USD,SETTLED,BATCH-6353
AUTH693868,TXN-202407-0168,2024-07-02,Datafast,VISA,1875,29.33,1.03,26.69,USD,SETTLED,BATCH-4432
AUTH313017,TXN-202407-0169,2024-07-22,Datafast,VISA,3328,35.9,1.26,32.66,USD,SETTLED,BATCH-6287
AUTH569905,TXN-202407-0170,2024-07-08,Datafast,VISA,4803,340.28,11.91,309.66,USD,SETTLED,BATCH-2574
AUTH458505,TXN-202407-0171,2024-07-09,PayPhone,VISA,5957,24.05,0.91,21.82,USD,SETTLED,BATCH-8705
AUTH752354,TXN-202407-0172,2024-07-06,Datafast,AMEX,5374,2194.03,76.79,1996.57,USD,SETTLED,BATCH-7633
AUTH935536,TXN-202407-0173,2024-07-14,Datafast,VISA,6851,348.35,12.19,317.0,USD,SETTLED,BATCH-6376
AUTH202539,TXN-202407-0174,2024-07-16,Datafast,AMEX,7985,33.85,1.18,30.81,USD,SETTLED,BATCH-1734
AUTH714420,TXN-202407-0175,2024-07-10,Datafast,MASTERCARD,9394,496.93,17.39,452.21,USD,SETTLED,BATCH-5237
AUTH238872,TXN-202407-0176,2024-07-22,PayPhone,MASTERCARD,5782,47.44,1.8,43.04,USD,SETTLED,BATCH-8502
AUTH289594,TXN-202407-0177,2024-07-29,PayPhone,AMEX,5315,429.79,16.33,389.82,USD,SETTLED,BATCH-3041
AUTH514736,TXN-202407-0178,2024-07-07,Medianet,VISA,7750,171.98,5.5,157.02,USD,SETTLED,BATCH-9569
AUTH568019,TXN-202407-0179,2024-07-05,Datafast,MASTERCARD,8750,365.96,12.81,333.02,USD,SETTLED,BATCH-4299
AUTH179705,TXN-202407-0180,2024-07-02,Datafast,MASTERCARD,5807,64.15,2.25,58.37,USD,SETTLED,BATCH-1074
AUTH837139,TXN-202407-0181,2024-07-14,Datafast,VISA,1405,1316.8,46.09,1198.28,USD,SETTLED,BATCH-1616
AUTH340207,TXN-202407-0182,2024-07-17,Datafast,MASTERCARD,4799,233.66,8.18,212.63,USD,SETTLED,BATCH-6574
AUTH204726,TXN-202407-0183,2024-07-26,PayPhone,VISA,7934,282.38,10.73,256.12,USD,SETTLED,BATCH-5488
AUTH605012,TXN-202407-0184,2024-07-05,Medianet,VISA,8000,77.22,2.47,70.51,USD,SETTLED,BATCH-3234
AUTH490465,TXN-202407-0185,2024-07-26,PayPhone,MASTERCARD,5885,2918.17,110.89,2646.78,USD,SETTLED,BATCH-9333
AUTH343394,TXN-202407-0186,2024-07-15,Datafast,MASTERCARD,1354,45.24,1.58,41.17,USD,SETTLED,BATCH-8460
AUTH857645,TXN-202407-0187,2024-07-31,Medianet,MASTERCARD,2087,425.42,13.61,388.42,USD,SETTLED,BATCH-4477
AUTH520250,TXN-202407-0188,2024-07-18,Datafast,VISA,8077,71.32,2.5,64.9,USD,SETTLED,BATCH-5501
AUTH234331,TXN-202407-0189,2024-07-30,PayPhone,VISA,4570,66.79,2.54,60.57,USD,SETTLED,BATCH-5666
AUTH544126,TXN-202407-0190,2024-07-10,Datafast,VISA,3207,75.97,2.66,69.13,USD,SETTLED,BATCH-7585
AUTH996501,TXN-202407-0191,2024-07-12,Datafast,VISA,6231,34.15,1.2,31.07,USD,SETTLED,BATCH-7181
AUTH387382,TXN-202407-0192,2024-07-24,PayPhone,MASTERCARD,8860,49.05,1.86,44.49,USD,SETTLED,BATCH-9459
AUTH596450,TXN-202407-0193,2024-07-31,PayPhone,MASTERCARD,4582,338.57,12.87,307.07,USD,SETTLED,BATCH-8104
AUTH433973,TXN-202407-0194,2024-07-28,Datafast,VISA,9169,76.29,2.67,69.43,USD,SETTLED,BATCH-8040
AUTH258486,TXN-202407-0195,2024-07-12,Datafast,MASTERCARD,9290,78.34,2.74,71.29,USD,SETTLED,BATCH-8372
AUTH800217,TXN-202407-0196,2024-07-15,Datafast,VISA,4412,68.6,2.4,62.42,USD,SETTLED,BATCH-9829
AUTH994484,TXN-202407-0197,2024-07-26,Medianet,MASTERCARD,2950,88.97,2.85,81.23,USD,SETTLED,BATCH-5230
AUTH633406,TXN-202407-0198,2024-07-25,Datafast,VISA,6817,108.82,3.81,99.02,USD,SETTLED,BATCH-8487
AUTH760136,TXN-202407-0199,2024-07-05,Datafast,VISA,9162,218.0,7.63,198.38,USD,SETTLED,BATCH-1268
AUTH518006,TXN-202407-0200,2024-07-09,Datafast,AMEX,6997,14.75,0.52,13.42,USD,SETTLED,BATCH-7694
AUTH364109,TXN-202407-0201,2024-07-26,Datafast,AMEX,8422,31.87,1.12,29.0,USD,SETTLED,BATCH-2744
AUTH501704,TXN-202407-0202,2024-07-14,Medianet,VISA,3624,14.51,0.46,13.25,USD,SETTLED,BATCH-8496
AUTH207883,TXN-202407-0203,2024-07-19,Datafast,VISA,3413,32.15,1.13,29.25,USD,SETTLED,BATCH-1364
AUTH248758,TXN-202407-0204,2024-07-30,Datafast,VISA,8195,385.44,13.49,350.76,USD,SETTLED,BATCH-8098
AUTH835281,TXN-202407-0205,2024-07-16,Medianet,VISA,4826,652.06,20.87,595.33,USD,SETTLED,BATCH-1843
AUTH126638,TXN-202407-0206,2024-07-29,Datafast,VISA,2711,266.3,9.32,242.34,USD,SETTLED,BATCH-2392
AUTH750967,TXN-202407-0207,2024-07-19,Datafast,VISA,9340,51.82,1.81,47.16,USD,SETTLED,BATCH-5273
AUTH546403,TXN-202407-0208,2024-07-17,Medianet,VISA,7447,203.86,6.52,186.13,USD,SETTLED,BATCH-8214
