liquidation_id,bank_reference,transaction_id,settlement_date,transaction_date,gateway,card_type,card_last4,gross_amount,commission_amount,vat_retention,income_retention,net_amount,status,chargeback_flag,original_transaction_id
LIQ-00061,BNK905902,TXN-202407-0061,2024-07-28,2024-07-25,PayPhone,VISA,5255,12.71,0.48,0.57,0.13,11.53,SETTLED,0,
LIQ-00062,BNK142402,TXN-202407-0062,2024-07-31,2024-07-30,PayPhone,VISA,5375,144.91,5.51,6.52,1.45,131.43,SETTLED,0,
LIQ-00063,BNK311807,TXN-202407-0063,2024-07-02,2024-07-01,PayPhone,DINERS,9160,450.19,17.11,20.26,4.5,408.32,SETTLED,0,
LIQ-00064,BNK118179,TXN-202407-0064,2024-07-31,2024-07-28,Medianet,VISA,1796,2505.59,80.18,112.75,25.06,2287.6,SETTLED,0,
LIQ-00065,BNK391640,TXN-202407-0065,2024-07-29,2024-07-28,PayPhone,VISA,2842,125.4,4.77,5.64,1.25,113.74,SETTLED,0,
LIQ-00066,BNK416778,TXN-202407-0066,2024-07-11,2024-07-10,PayPhone,VISA,9146,273.33,10.39,12.3,2.73,247.91,SETTLED,0,
LIQ-00067,BNK347765,TXN-202407-0067,2024-07-05,2024-07-03,Datafast,MASTERCARD,4178,25.9,0.91,1.17,0.26,23.56,SETTLED,0,
LIQ-00068,BNK506691,TXN-202407-0068,2024-07-12,2024-07-11,Datafast,MASTERCARD,3680,434.34,15.2,19.55,4.34,395.25,SETTLED,0,
LIQ-00069,BNK776758,TXN-202407-0069,2024-07-10,2024-07-09,Datafast,DINERS,1414,77.19,2.7,3.47,0.77,70.25,SETTLED,0,
LIQ-00070,BNK185993,TXN-202407-0070,2024-07-23,2024-07-20,Datafast,VISA,9667,211.74,7.41,9.53,2.12,192.68,SETTLED,0,
LIQ-00071,BNK954246,TXN-202407-0071,2024-07-15,2024-07-14,Datafast,AMEX,7732,8.33,0.29,0.37,0.08,7.59,SETTLED,0,
LIQ-00072,BNK700483,TXN-202407-0072,2024-07-27,2024-07-24,Medianet,AMEX,6594,474.91,15.2,21.37,4.75,433.59,SETTLED,0,
LIQ-00073,BNK996727,TXN-202407-0073,2024-07-22,2024-07-20,Datafast,VISA,3418,2801.93,98.07,126.09,28.02,2549.75,SETTLED,0,
LIQ-00074,BNK932830,TXN-202407-0074,2024-07-24,2024-07-22,Medianet,VISA,4646,1767.81,56.57,79.55,17.68,1614.01,SETTLED,0,
LIQ-00075,BNK701727,TXN-202407-0075,2024-07-24,2024-07-22,Datafast,MASTERCARD,8286,160.57,5.62,7.23,1.61,146.11,SETTLED,0,
LIQ-00076,BNK436314,TXN-202407-0076,2024-07-19,2024-07-18,Medianet,AMEX,8582,206.4,6.6,9.29,2.06,188.45,SETTLED,0,
LIQ-00077,BNK214798,TXN-202407-0077,2024-07-13,2024-07-11,Datafast,VISA,8421,334.8,11.72,15.07,3.35,304.66,SETTLED,0,
LIQ-00078,BNK582570,TXN-202407-0078,2024-08-03,2024-07-31,Datafast,MASTERCARD,3163,64.53,2.26,2.9,0.65,58.72,SETTLED,0,
LIQ-00079,BNK169634,TXN-202407-0079,2024-07-12,2024-07-11,Datafast,VISA,8044,52.47,1.84,2.36,0.52,47.75,SETTLED,0,
LIQ-00080,BNK463737,TXN-202407-0080,2024-07-08,2024-07-07,PayPhone,MASTERCARD,7558,174.35,6.63,7.85,1.74,158.13,SETTLED,0,
LIQ-00081,BNK975753,TXN-202407-0081,2024-07-05,2024-07-03,Datafast,VISA,6307,68.73,2.41,3.09,0.69,62.54,SETTLED,0,
LIQ-00082,BNK270922,TXN-202407-0082,2024-07-18,2024-07-16,Datafast,MASTERCARD,7663,57.23,2,2.58,0.57,52.08,SETTLED,0,
LIQ-00083,BNK320254,TXN-202407-0083,2024-07-26,2024-07-25,Datafast,MASTERCARD,4085,61.32,2.15,2.76,0.61,55.8,SETTLED,0,
LIQ-00084,BNK863319,TXN-202407-0084,2024-07-16,2024-07-15,Medianet,VISA,4194,372.28,11.91,16.75,3.72,339.9,SETTLED,0,
LIQ-00085,BNK698229,TXN-202407-0085,2024-07-18,2024-07-15,Medianet,AMEX,8668,15,0.48,0.67,0.15,13.7,SETTLED,0,
LIQ-00086,BNK198114,TXN-202407-0086,2024-07-18,2024-07-15,Medianet,MASTERCARD,1055,61.64,1.97,2.77,0.62,56.28,SETTLED,0,
LIQ-00087,BNK123950,TXN-202407-0087,2024-07-16,2024-07-15,PayPhone,AMEX,2826,73.01,2.77,3.29,0.73,66.22,SETTLED,0,
LIQ-00088,BNK916782,TXN-202407-0088,2024-07-23,2024-07-21,Medianet,VISA,5565,23.54,0.75,1.06,0.24,21.49,SETTLED,0,
LIQ-00089,BNK256463,TXN-202407-0089,2024-07-06,2024-07-03,Medianet,MASTERCARD,2014,195.33,6.25,8.79,1.95,178.34,SETTLED,0,
LIQ-00090,BNK774141,TXN-202407-0090,2024-07-06,2024-07-05,Datafast,VISA,1764,45.51,1.59,2.05,0.46,41.41,SETTLED,0,
LIQ-00091,BNK705225,TXN-202407-0091,2024-07-16,2024-07-14,Datafast,MASTERCARD,6850,106.98,3.74,4.81,1.07,97.34,SETTLED,0,
LIQ-00092,BNK275615,TXN-202407-0092,2024-08-01,2024-07-29,Medianet,VISA,3498,36.51,1.17,1.64,0.37,33.33,SETTLED,0,
LIQ-00093,BNK917071,TXN-202407-0093,2024-07-17,2024-07-16,PayPhone,VISA,8197,321.79,12.23,14.48,3.22,291.86,SETTLED,0,
LIQ-00094,BNK865215,TXN-202407-0094,2024-07-29,2024-07-27,PayPhone,VISA,9798,71.87,2.73,3.23,0.72,65.19,SETTLED,0,
LIQ-00095,BNK715387,TXN-202407-0095,2024-07-17,2024-07-16,Medianet,MASTERCARD,2030,457.08,14.63,20.57,4.57,417.31,SETTLED,0,
LIQ-00096,BNK885675,TXN-202407-0096,2024-07-28,2024-07-26,Datafast,VISA,1402,55.17,1.93,2.48,0.55,50.21,SETTLED,0,
LIQ-00097,BNK465164,TXN-202407-0097,2024-07-19,2024-07-18,Medianet,AMEX,7020,2951.8,94.46,132.83,29.52,2694.99,SETTLED,0,
LIQ-00098,BNK796263,TXN-202407-0098,2024-07-15,2024-07-14,PayPhone,MASTERCARD,6332,115.26,4.38,5.19,1.15,104.54,SETTLED,0,
LIQ-00099,BNK125197,TXN-202407-0099,2024-07-17,2024-07-15,PayPhone,VISA,9505,29.55,1.12,1.33,0.3,26.8,SETTLED,0,
LIQ-00100,BNK196967,TXN-202407-0100,2024-07-16,2024-07-14,Datafast,AMEX,1747,76.34,3.1,3.44,0.76,69.04,SETTLED,0,
LIQ-00101,BNK417499,TXN-202407-0101,2024-08-02,2024-07-31,PayPhone,VISA,1595,101.88,3.87,4.58,1.02,92.41,SETTLED,0,
LIQ-00102,BNK308498,TXN-202407-0102,2024-07-02,2024-07-01,Datafast,VISA,1414,600.65,21.02,27.03,6.01,546.59,SETTLED,0,
LIQ-00103,BNK601186,TXN-202407-0103,2024-07-23,2024-07-22,Datafast,VISA,3490,14.47,0.51,0.65,0.14,13.17,SETTLED,0,
LIQ-00104,BNK390648,TXN-202407-0104,2024-07-09,2024-07-06,Medianet,VISA,8927,402.1,12.87,18.09,4.02,367.12,SETTLED,0,
LIQ-00105,BNK785511,TXN-202407-0105,2024-08-02,2024-07-31,Medianet,MASTERCARD,3919,66.45,2.13,2.99,0.66,60.67,SETTLED,0,
LIQ-00106,BNK870621,TXN-202407-0106,2024-08-02,2024-07-31,Datafast,VISA,3097,55.8,1.95,2.51,0.56,50.78,SETTLED,0,
LIQ-00107,BNK636221,TXN-202407-0107,2024-07-22,2024-07-21,Datafast,MASTERCARD,2076,56.8,1.99,2.56,0.57,51.68,SETTLED,0,
LIQ-00108,BNK302219,TXN-202407-0108,2024-07-07,2024-07-04,Datafast,MASTERCARD,6065,332.17,11.63,14.95,3.32,302.27,SETTLED,0,
LIQ-00109,BNK159442,TXN-202407-0109,2024-07-20,2024-07-17,Medianet,VISA,4052,32.79,1.05,1.48,0.33,29.93,SETTLED,0,
LIQ-00110,BNK741812,TXN-202407-0110,2024-08-02,2024-07-31,Datafast,AMEX,6239,124.33,4.35,5.59,1.24,113.15,SETTLED,0,
LIQ-00111,BNK963239,TXN-202407-0111,2024-07-27,2024-07-24,Medianet,AMEX,8587,262.9,11.99,11.83,2.63,236.45,SETTLED,0,
LIQ-00112,BNK305869,TXN-202407-0112,2024-07-18,2024-07-16,PayPhone,VISA,4192,306.03,11.63,13.77,3.06,277.57,SETTLED,0,
LIQ-00113,BNK105151,TXN-202407-0113,2024-07-28,2024-07-27,Datafast,MASTERCARD,2964,68.88,2.41,3.1,0.69,62.68,SETTLED,0,
LIQ-00114,BNK704555,TXN-202407-0114,2024-07-24,2024-07-22,Datafast,VISA,7970,319.34,11.18,14.37,3.19,290.6,SETTLED,0,
LIQ-00115,BNK535771,TXN-202407-0115,2024-07-14,2024-07-12,Datafast,VISA,1433,41.57,1.45,1.87,0.42,37.83,SETTLED,0,
LIQ-00116,BNK592932,TXN-202407-0116,2024-07-04,2024-07-01,Datafast,AMEX,5933,196.03,6.86,8.82,1.96,178.39,SETTLED,0,
LIQ-00117,BNK186662,TXN-202407-0117,2024-07-26,2024-07-25,PayPhone,VISA,4714,285.2,10.84,12.83,2.85,258.68,SETTLED,0,
LIQ-00118,BNK320638,TXN-202407-0118,2024-07-05,2024-07-03,Medianet,MASTERCARD,3022,64.47,2.06,2.9,0.64,58.87,SETTLED,0,
LIQ-00119,BNK820134,TXN-202407-0119,2024-07-19,2024-07-16,Datafast,MASTERCARD,4565,48.62,1.7,2.19,0.49,44.24,SETTLED,0,
LIQ-00120,BNK722314,TXN-202407-0120,2024-07-25,2024-07-23,Medianet,VISA,7520,218.93,7.01,9.85,2.19,199.88,SETTLED,0,
LIQ-00121,BNK624146,TXN-202407-0121,2024-07-07,2024-07-04,Datafast,VISA,9668,19.44,0.68,0.87,0.19,17.7,SETTLED,0,
LIQ-00122,BNK197443,TXN-202407-0122,2024-07-18,2024-07-16,Medianet,MASTERCARD,2422,21.23,0.68,0.96,0.21,19.38,SETTLED,0,
LIQ-00123,BNK738265,TXN-202407-0123,2024-07-05,2024-07-04,Medianet,DINERS,9099,26.22,0.84,1.18,0.26,23.94,SETTLED,0,
LIQ-00124,BNK220764,TXN-202407-0124,2024-07-07,2024-07-05,Datafast,VISA,3694,58.1,2.03,2.61,0.58,52.88,SETTLED,0,
LIQ-00125,BNK252236,TXN-202407-0125,2024-07-23,2024-07-21,Datafast,VISA,1574,75.81,2.65,3.41,0.76,68.99,SETTLED,0,
LIQ-00126,BNK517143,TXN-202407-0126,2024-07-12,2024-07-11,Datafast,VISA,4251,40.9,1.43,1.84,0.41,37.22,SETTLED,0,
LIQ-00127,BNK150768,TXN-202407-0127,2024-07-05,2024-07-03,PayPhone,VISA,2992,127.92,5.62,5.76,1.28,115.26,SETTLED,0,
LIQ-00128,BNK764053,TXN-202407-0128,2024-07-29,2024-07-26,Datafast,MASTERCARD,4245,143.73,5.03,6.47,1.44,130.79,SETTLED,0,
LIQ-00129,BNK258263,TXN-202407-0129,2024-07-17,2024-07-14,PayPhone,VISA,7194,46.86,1.78,2.11,0.47,42.5,SETTLED,0,
LIQ-00130,BNK867301,TXN-202407-0130,2024-08-01,2024-07-30,Medianet,MASTERCARD,6666,239.76,7.67,10.79,2.4,218.9,SETTLED,0,
LIQ-00131,BNK259160,TXN-202407-0131,2024-07-05,2024-07-02,Datafast,MASTERCARD,6751,47.65,1.67,2.14,0.48,43.36,SETTLED,0,
LIQ-00132,BNK221173,TXN-202407-0132,2024-07-12,2024-07-09,PayPhone,VISA,3525,342.72,13.02,15.42,3.43,310.85,SETTLED,0,
LIQ-00133,BNK317312,TXN-202407-0133,2024-07-16,2024-07-14,Datafast,VISA,9488,145.74,5.1,6.56,1.46,132.62,SETTLED,0,
LIQ-00134,BNK265050,TXN-202407-0134,2024-07-13,2024-07-10,Medianet,VISA,7402,26.61,0.85,1.2,0.27,24.29,SETTLED,0,
LIQ-00135,BNK223815,TXN-202407-0135,2024-07-29,2024-07-26,PayPhone,VISA,3883,24.84,0.94,1.12,0.25,22.53,SETTLED,0,
LIQ-00136,BNK820147,TXN-202407-0136,2024-07-11,2024-07-08,Medianet,AMEX,1438,13.61,0.44,0.61,0.14,12.42,SETTLED,0,
LIQ-00137,BNK834424,TXN-202407-0137,2024-07-28,2024-07-26,Datafast,VISA,4055,9.47,0.33,0.43,0.09,8.62,SETTLED,0,
LIQ-00138,BNK582706,TXN-202407-0138,2024-07-18,2024-07-15,Medianet,AMEX,8940,1597.88,51.13,71.9,15.98,1458.87,SETTLED,0,
LIQ-00139,BNK530033,TXN-202407-0139,2024-07-16,2024-07-15,Datafast,VISA,5032,45.5,1.59,2.05,0.46,41.4,SETTLED,0,
LIQ-00140,BNK589216,TXN-202407-0140,2024-07-02,2024-07-01,Medianet,AMEX,6635,333.56,10.67,15.01,3.34,304.54,SETTLED,0,
LIQ-00141,BNK889221,TXN-202407-0141,2024-07-04,2024-07-01,Datafast,MASTERCARD,3094,326.59,11.43,14.7,3.27,297.19,SETTLED,0,
LIQ-00142,BNK792251,TXN-202407-0142,2024-07-20,2024-07-17,PayPhone,MASTERCARD,7119,153.58,5.84,6.91,1.54,139.29,SETTLED,0,
LIQ-00143,BNK246417,TXN-202407-0143,2024-07-29,2024-07-27,Datafast,VISA,6771,1589.71,55.64,71.54,15.9,1446.63,SETTLED,0,
LIQ-00144,BNK156102,TXN-202407-0144,2024-07-05,2024-07-04,PayPhone,VISA,4493,29.08,1.11,1.31,0.29,26.37,SETTLED,0,
LIQ-00145,BNK220760,TXN-202407-0145,2024-07-30,2024-07-27,Datafast,MASTERCARD,4844,75.89,2.66,3.42,0.76,69.05,SETTLED,0,
LIQ-00146,BNK735266,TXN-202407-0146,2024-07-27,2024-07-25,Datafast,VISA,3430,13.69,0.48,0.62,0.14,12.45,SETTLED,0,
LIQ-00147,BNK908847,TXN-202407-0147,2024-07-17,2024-07-15,PayPhone,AMEX,3768,70.2,2.67,3.16,0.7,63.67,SETTLED,0,
LIQ-00148,BNK882259,TXN-202407-0148,2024-07-16,2024-07-15,Datafast,MASTERCARD,3470,289.37,10.13,13.02,2.89,263.33,SETTLED,0,
LIQ-00149,BNK806150,TXN-202407-0149,2024-07-25,2024-07-23,Datafast,MASTERCARD,8253,1595.29,55.84,71.79,15.95,1451.71,SETTLED,0,
LIQ-00150,BNK193571,TXN-202407-0150,2024-07-08,2024-07-06,Datafast,DINERS,4716,180.5,6.32,8.12,1.8,164.26,SETTLED,0,
LIQ-00151,BNK221565,TXN-202407-0151,2024-07-31,2024-07-30,Medianet,MASTERCARD,4114,79.42,2.54,3.57,0.79,72.52,SETTLED,0,
LIQ-00152,BNK218184,TXN-202407-0152,2024-07-25,2024-07-23,Datafast,VISA,9555,289.32,10.13,13.02,2.89,263.28,SETTLED,0,
LIQ-00153,BNK501166,TXN-202407-0153,2024-07-10,2024-07-08,Medianet,VISA,3855,491.7,15.73,22.13,4.92,448.92,SETTLED,0,
LIQ-00154,BNK522257,TXN-202407-0154,2024-07-30,2024-07-29,Medianet,VISA,1023,1770.6,56.66,79.68,17.71,1616.55,SETTLED,0,
LIQ-00155,BNK209581,TXN-202407-0155,2024-08-02,2024-07-30,PayPhone,VISA,5707,254.28,9.66,11.44,2.54,230.64,SETTLED,0,
LIQ-00156,BNK235793,TXN-202407-0156,2024-07-22,2024-07-19,Datafast,VISA,6957,431.74,15.11,19.43,4.32,392.88,SETTLED,0,
LIQ-00157,BNK289485,TXN-202407-0157,2024-07-21,2024-07-18,Datafast,VISA,8760,30.88,1.08,1.39,0.31,28.1,SETTLED,0,
LIQ-00158,BNK143884,TXN-202407-0158,2024-07-11,2024-07-08,Datafast,DINERS,4638,491.93,17.22,22.14,4.92,447.65,SETTLED,0,
LIQ-00159,BNK226832,TXN-202407-0159,2024-07-19,2024-07-16,Datafast,AMEX,6800,28.86,1.01,1.3,0.29,26.26,SETTLED,0,
LIQ-00160,BNK747504,TXN-202407-0160,2024-07-22,2024-07-21,PayPhone,VISA,4694,2480.98,94.28,111.64,24.81,2250.25,SETTLED,0,
LIQ-00161,BNK856726,TXN-202407-0161,2024-07-29,2024-07-28,Datafast,VISA,3116,49.26,1.72,2.22,0.49,44.83,SETTLED,0,
LIQ-00162,BNK133467,TXN-202407-0162,2024-07-25,2024-07-24,PayPhone,VISA,4713,39.27,1.49,1.77,0.39,35.62,SETTLED,0,
LIQ-00163,BNK568179,TXN-202407-0163,2024-07-11,2024-07-09,Datafast,MASTERCARD,7934,40.21,1.41,1.81,0.4,36.59,SETTLED,0,
LIQ-00164,BNK242592,TXN-202407-0164,2024-07-25,2024-07-22,Medianet,VISA,7993,29.64,0.95,1.33,0.3,27.06,SETTLED,0,
LIQ-00165,BNK858119,TXN-202407-0165,2024-07-31,2024-07-28,Datafast,VISA,2427,398.95,13.96,17.95,3.99,363.05,SETTLED,0,
LIQ-00166,BNK459597,TXN-202407-0166,2024-07-11,2024-07-08,Datafast,VISA,9311,466.79,16.34,21.01,4.67,424.77,SETTLED,0,
LIQ-00167,BNK793861,TXN-202407-0167,2024-07-06,2024-07-04,Datafast,DINERS,6734,375.63,13.15,16.9,3.76,341.82,SETTLED,0,
LIQ-00168,BNK878651,TXN-202407-0168,2024-07-04,2024-07-02,Datafast,VISA,1569,29.33,1.03,1.32,0.29,26.69,SETTLED,0,
LIQ-00169,BNK654859,TXN-202407-0169,2024-07-23,2024-07-22,Datafast,VISA,8692,35.9,1.26,1.62,0.36,32.66,SETTLED,0,
LIQ-00170,BNK896867,TXN-202407-0170,2024-07-10,2024-07-08,Datafast,VISA,7506,340.28,11.91,15.31,3.4,309.66,SETTLED,0,
LIQ-00171,BNK558895,TXN-202407-0171,2024-07-12,2024-07-09,PayPhone,VISA,2501,24.05,0.91,1.08,0.24,21.82,SETTLED,0,
